arch,segment,name,offset_hex,size_bytes,has_warnings,unique_calls,has_globals,score,preview
PPC,PPC_0001,FUN_10013774,0x10013774,668,True,2,False,778,void FUN_10013774(void)
PPC,PPC_0001,FUN_10009d38,0x10009d38,624,True,11,False,779,"void FUN_10009d38(int param_1,short param_2,short param_3,short param_4,short pa"
PPC,PPC_0001,FUN_10020ae8,0x10020ae8,672,True,2,False,782,void FUN_10020ae8(short param_1)
PPC,PPC_0004,FUN_100aafb8,0x100aafb8,628,True,11,False,783,void FUN_100aafb8(void)
PPC,PPC_0003,FUN_10082ca8,0x10082ca8,636,True,6,True,786,void FUN_10082ca8(int *param_1)
PPC,PPC_0003,FUN_10081b50,0x10081b50,652,True,7,False,787,"void FUN_10081b50(int param_1,uint param_2,undefined4 *param_3)"
PPC,PPC_0009,FUN_10113c80,0x10113c80,732,False,11,False,787,void FUN_10113c80(int param_1)
PPC,PPC_0008,FUN_100feaa4,0x100feaa4,644,True,9,False,789,"void FUN_100feaa4(int *param_1,int param_2)"
PPC,PPC_0001,FUN_100049bc,0x100049bc,664,True,1,True,789,void FUN_100049bc(int param_1)
PPC,PPC_0003,FUN_10086478,0x10086478,640,True,10,False,790,"void FUN_10086478(int *param_1,undefined4 param_2,undefined4 param_3)"
PPC,PPC_0007,FUN_100e2fe8,0x100e2fe8,652,True,8,False,792,"void FUN_100e2fe8(int *param_1,int *param_2)"
PPC,PPC_0008,FUN_100fd790,0x100fd790,692,False,16,True,792,"void FUN_100fd790(int *param_1,undefined4 param_2,undefined4 param_3,undefined4 "
PPC,PPC_0008,FUN_100ff91c,0x100ff91c,644,True,10,False,794,"void FUN_100ff91c(int *param_1,short param_2)"
PPC,PPC_0009,FUN_1010e964,0x1010e964,640,True,11,False,795,"int * FUN_1010e964(undefined4 param_1,short param_2,int param_3)"
PPC,PPC_0001,FUN_1000f410,0x1000f410,656,True,8,False,796,void FUN_1000f410(void)
PPC,PPC_0005,FUN_100bb8b8,0x100bb8b8,640,True,8,True,800,"void FUN_100bb8b8(int *param_1,char param_2)"
PPC,PPC_0001,FUN_1002b91c,0x1002b91c,696,True,1,False,801,void FUN_1002b91c(void)
PPC,PPC_0004,FUN_100950a4,0x100950a4,652,True,10,False,802,void FUN_100950a4(void)
PPC,PPC_0002,FUN_1005af24,0x1005af24,672,True,6,False,802,void FUN_1005af24(int *param_1)
PPC,PPC_0004,FUN_100ae86c,0x100ae86c,656,True,10,False,806,void FUN_100ae86c(void)
PPC,PPC_0005,FUN_100b4978,0x100b4978,676,True,2,True,806,void FUN_100b4978(void)
PPC,PPC_0006,FUN_100ced8c,0x100ced8c,712,False,19,False,807,"void FUN_100ced8c(int *param_1,undefined4 param_2)"
PPC,PPC_0003,FUN_1008a100,0x1008a100,648,True,8,True,808,void FUN_1008a100(int param_1)
PPC,PPC_0002,FUN_10055f30,0x10055f30,620,True,14,True,810,undefined4 FUN_10055f30(void)
PPC,PPC_0003,FUN_10080cf0,0x10080cf0,756,False,11,False,811,"void FUN_10080cf0(int *param_1,short param_2)"
PPC,PPC_0009,FUN_101116ac,0x101116ac,732,False,16,False,812,"int * FUN_101116ac(int *param_1,undefined4 *param_2)"
PPC,PPC_0002,FUN_10054af4,0x10054af4,660,True,11,False,815,"void FUN_10054af4(short param_1,short param_2)"
PPC,PPC_0001,FUN_1002d3ac,0x1002d3ac,680,True,3,True,815,"void FUN_1002d3ac(short param_1,short param_2,short param_3,short param_4)"
PPC,PPC_0002,FUN_10064f24,0x10064f24,680,True,3,True,815,void FUN_10064f24(void)
PPC,PPC_0004,FUN_1009fc58,0x1009fc58,700,True,3,False,815,void FUN_1009fc58(void)
PPC,PPC_0008,FUN_101017f4,0x101017f4,672,True,9,False,817,"void FUN_101017f4(int *param_1,int *param_2)"
PPC,PPC_0008,FUN_1010357c,0x1010357c,644,True,15,False,819,"undefined4 FUN_1010357c(int *param_1,undefined4 *param_2,int param_3)"
PPC,PPC_0008,FUN_10100dfc,0x10100dfc,772,False,11,False,827,undefined4 FUN_10100dfc(int *param_1)
PPC,PPC_0003,FUN_100759d8,0x100759d8,668,True,12,False,828,"void FUN_100759d8(int *param_1,undefined1 param_2)"
PPC,PPC_0004,FUN_100af268,0x100af268,708,True,4,False,828,void FUN_100af268(short param_1)
PPC,PPC_0004,FUN_100a7544,0x100a7544,700,True,6,False,830,void FUN_100a7544(void)
PPC,PPC_0007,FUN_100de3d4,0x100de3d4,656,True,11,True,831,"void FUN_100de3d4(int *param_1,int *param_2)"
PPC,PPC_0002,FUN_1006ebf4,0x1006ebf4,772,False,12,False,832,"void FUN_1006ebf4(int *param_1,int *param_2)"
PPC,PPC_0001,FUN_10003ec8,0x10003ec8,724,True,2,False,834,"void FUN_10003ec8(short param_1,short param_2)"
PPC,PPC_0001,FUN_100283f8,0x100283f8,676,True,12,False,836,"void FUN_100283f8(int param_1,short param_2,undefined4 param_3)"
PPC,PPC_0007,FUN_100f0f78,0x100f0f78,688,True,10,False,838,"void FUN_100f0f78(int *param_1,int *param_2,int *param_3,int *param_4)"
PPC,PPC_0001,FUN_1001cd68,0x1001cd68,684,True,11,False,839,undefined4 FUN_1001cd68(short param_1)
PPC,PPC_0002,FUN_1003abfc,0x1003abfc,692,True,6,True,842,"void FUN_1003abfc(undefined4 param_1,undefined4 param_2,short param_3,undefined2"
PPC,PPC_0002,FUN_10066e64,0x10066e64,648,True,15,True,843,"bool FUN_10066e64(int param_1,undefined2 *param_2)"
PPC,PPC_0004,FUN_1009b3b0,0x1009b3b0,760,False,17,False,845,int FUN_1009b3b0(int param_1)
PPC,PPC_0001,FUN_10033280,0x10033280,712,True,7,False,847,"void FUN_10033280(undefined4 param_1,undefined2 param_2)"
PPC,PPC_0004,FUN_100961ec,0x100961ec,716,True,7,False,851,"void FUN_100961ec(int *param_1,short param_2,undefined4 param_3)"
